,loglikely,token
60,-2941.0921240770754,feminists
127,-809.5139094728129,was
619,-715.1896293298246,@youtube
505,-601.5201578504234,u0001f602
431,-545.7815861894048,liked
165,-429.3825104573841,they
528,-338.64307004196354,would
372,-327.2189567454446,video
589,-312.97589831891196,their
408,-312.62388998946136,can
332,-298.67226832504645,real
652,-271.62650409601736,as
125,-239.52078010312243,>
118,-206.34686477451453,all
217,-204.10885027362886,@meninisttweet
319,-199.3282543952855,via
765,-183.8454221972114,handle
222,-176.6887020596938,be
393,-174.54195421012844,commercial
424,-163.05231886143918,some
385,-161.12610954563627,from
698,-159.46210735763879,cant
799,-153.28266209972247,will
594,-144.82722907117125,are
259,-137.7745287737112,special
163,-119.83875411896369,them
670,-114.93844215787239,meninist
819,-114.66029240368334,a
489,-114.43095375145873,twitter
560,-113.27373115406317,want
676,-113.22879445654152,@amazingatheist
406,-109.90335780894104,he
7,-95.4754218973326,having
164,-93.83943225696245,then
347,-87.52609379874602,man
13,-84.2253645592013,if
251,-80.46053151108245,get
800,-71.40220277811262,crazy
223,-70.93510731573656,by
673,-70.79290988053592,how
272,-65.28613472797086,#feminists
227,-64.99434764879837,made
545,-62.94719325534933,vs
198,-62.331187801244766,she
288,-57.17536083520261,her
25,-56.0939621188934,rape
659,-56.03970550119783,i
614,-55.61795070154163,smh
727,-54.600877873220256,lesbian
386,-52.13184092020437,suck
271,-51.774323306206014,his
493,-49.03960120688037,cross
611,-48.22886414580194,annoying
791,-48.01377957712812,relationships
68,-47.48414123495599,frequency
634,-45.43607403633209,these
702,-42.73161167675016,other
107,-38.86499789067828,lesbians
376,-38.324072692763224,hate
641,-37.794122935808474,with
582,-37.5092402172369,c
302,-36.08213789906819,answer
710,-35.441805167658394,sure
233,-35.31754049850389,apparently
367,-35.05542065483094,saying
772,-34.83002066860762,street
40,-34.522323447728766,white
740,-34.11047885931718,right
20,-33.08993276329757,now
728,-33.07570729840732,pretty
303,-32.74307441393929,threats
325,-32.007056622172215,guy
661,-30.769576972306858,mom
380,-30.69215671011341,take
758,-30.396165749995177,sex
110,-29.15489549512474,letter
356,-29.01941864352422,3
323,-28.731960028044426,look
482,-28.593135236593717,@sargon_of_akkad
539,-28.247096424572348,both
689,-28.175882599426334,em
362,-27.777951112450722,those
102,-27.36174175194553,got
760,-27.252312885160826,williams
257,-26.91408282905698,lightbulb
627,-26.31971046285684,death
426,-24.730946862590848,away
655,-24.339544584373826,thought
142,-23.96698516798466,rapists
34,-23.4380252285412,view
763,-23.125967100419643,aren't
687,-22.879926448665827,shit
784,-22.533344249848412,7
630,-22.005819653783917,go
703,-22.003626610234395,famous
635,-21.83118125239171,guess
470,-21.83118125239171,open
390,-20.3720987937985,figure
158,-20.139762633655927,logic
569,-19.848472044720282,1
275,-19.453745401944566,asked
753,-19.278998433363615,war
399,-19.23099252990862,tumblr
