,loglikely,token
490,-2941.0921240770754,feminists
103,-809.5139094728129,was
172,-715.1896293298246,@youtube
348,-601.5201578504234,u0001f602
519,-545.7815861894048,liked
2,-429.3825104573841,they
659,-338.64307004196354,would
240,-327.2189567454446,video
447,-312.97589831891196,their
253,-312.62388998946136,can
91,-298.67226832504645,real
313,-271.62650409601736,as
681,-239.52078010312243,>
656,-206.34686477451453,all
622,-204.10885027362886,@meninisttweet
550,-199.3282543952855,via
159,-183.8454221972114,handle
716,-176.6887020596938,be
345,-174.54195421012844,commercial
782,-163.05231886143918,some
779,-161.12610954563627,from
693,-159.46210735763879,cant
258,-153.28266209972247,will
237,-144.82722907117125,are
49,-137.7745287737112,special
11,-119.83875411896369,them
518,-114.93844215787239,meninist
117,-114.66029240368334,a
615,-114.43095375145873,twitter
434,-113.27373115406317,want
309,-113.22879445654152,@amazingatheist
801,-109.90335780894104,he
243,-95.4754218973326,having
391,-93.83943225696245,then
122,-87.52609379874602,man
387,-84.2253645592013,if
27,-80.46053151108245,get
324,-71.40220277811262,crazy
715,-70.93510731573656,by
554,-70.79290988053592,how
469,-65.28613472797086,#feminists
296,-64.99434764879837,made
299,-62.94719325534933,vs
112,-62.331187801244766,she
176,-57.17536083520261,her
249,-56.0939621188934,rape
157,-56.03970550119783,i
273,-55.61795070154163,smh
185,-54.600877873220256,lesbian
727,-52.13184092020437,suck
85,-51.774323306206014,his
720,-49.03960120688037,cross
425,-48.22886414580194,annoying
455,-48.01377957712812,relationships
93,-47.48414123495599,frequency
242,-45.43607403633209,these
365,-42.73161167675016,other
540,-38.86499789067828,lesbians
286,-38.324072692763224,hate
510,-37.794122935808474,with
295,-37.5092402172369,c
481,-36.08213789906819,answer
204,-35.441805167658394,sure
802,-35.31754049850389,apparently
626,-35.05542065483094,saying
806,-34.83002066860762,street
226,-34.522323447728766,white
417,-34.11047885931718,right
532,-33.08993276329757,now
394,-33.07570729840732,pretty
628,-32.74307441393929,threats
146,-32.007056622172215,guy
565,-30.769576972306858,mom
234,-30.69215671011341,take
326,-30.396165749995177,sex
430,-29.15489549512474,letter
503,-29.01941864352422,3
424,-28.731960028044426,look
526,-28.593135236593717,@sargon_of_akkad
283,-28.247096424572348,both
0,-28.175882599426334,em
399,-27.777951112450722,those
710,-27.36174175194553,got
221,-27.252312885160826,williams
538,-26.91408282905698,lightbulb
182,-26.31971046285684,death
141,-24.730946862590848,away
263,-24.339544584373826,thought
9,-23.96698516798466,rapists
691,-23.4380252285412,view
677,-23.125967100419643,aren't
634,-22.879926448665827,shit
106,-22.533344249848412,7
376,-22.005819653783917,go
778,-22.003626610234395,famous
353,-21.83118125239171,guess
393,-21.83118125239171,open
536,-20.3720987937985,figure
703,-20.139762633655927,logic
287,-19.848472044720282,1
375,-19.453745401944566,asked
102,-19.278998433363615,war
773,-19.23099252990862,tumblr
624,-18.73481206832436,wave
719,-18.672499606432197,potty-mouthed
448,-18.457052536783024,sarkeesian
658,-18.015416827119545,says
544,-17.915361840378452,always
361,-17.76332335235425,racist
652,-17.683300140800977,crying
277,-17.394989800242914,l
339,-17.243033768533866,personal
149,-17.141816708870675,wasn't
194,-17.108414518203933,wife
505,-17.02451989151573,swear
344,-16.928674678330133,drop
638,-16.924368154017127,cute
820,-16.87728702653561,@themercedesxxx
562,-16.815459283947447,that's
150,-16.557793077031356,guys
664,-16.518224907022756,penis
127,-16.338437155628164,technology
741,-16.338437155628164,babies
23,-16.32432729360833,anita
38,-16.322103858918087,lives
791,-16.23092373910962,u0001f62d
516,-16.23092373910962,pass
70,-16.183335955942773,naked
472,-16.150662151423816,give
186,-16.130366691456455,involved
110,-16.022601209757823,\
408,-15.96389432404608,agree
211,-15.667631584917999,let's
512,-15.536956836838534,themselves
675,-15.187189464608707,it
739,-15.016458057299978,put
312,-14.737037745090504,at
78,-14.310085857331067,where
257,-14.188944304072363,pissed
232,-14.18317289694378,she's
144,-14.071196036631832,often
812,-14.071196036631832,opinions
256,-13.665671901664233,they're
404,-13.570693193251497,revolution
591,-13.499582711533499,part
201,-13.30848004982139,ngozi
374,-13.279883036456084,out
794,-13.2753705280694,mothers
585,-13.257232249105286,#gamergate
694,-13.216633921313917,space
696,-13.20643681429868,account
246,-13.157698417430591,worse
255,-13.124668014272007,legs
643,-13.044369819051113,change
281,-13.002858691985121,adichie
464,-13.002633065566812,feminist
50,-12.847813057610768,@huffpostwomen
542,-12.837343479422131,complex
158,-12.608521245372813,kill
308,-12.353317889958582,through
179,-12.299520427692308,didn't
145,-12.270577389383188,mras
403,-12.235496606631976,u201c
119,-12.14690081290248,dick
684,-12.001402776427515,misogynists
405,-11.942702196206259,group
130,-11.861328313530628,mgtow
229,-11.807196417521716,rd
330,-11.7166336981368,@thunderf00t
488,-11.63254542707497,reading
297,-11.476008968397384,third
96,-11.285783118886751,f-bombs
378,-11.27987591265293,2014
197,-11.21441294369081,nice
56,-11.059189148906562,also
443,-10.700623960296802,stop
44,-10.669018874057414,went
230,-10.611373156486525,early
357,-10.611373156486525,title
30,-10.574606012280928,boy
548,-10.499734411417606,held
743,-10.430260987266912,act
783,-10.331027106553023,each
28,-10.30339857162095,calls
162,-10.22899508136876,took
86,-10.19163524675503,chimamanda
189,-10.18901831944487,off
597,-10.18604939689925,chinese
474,-10.183556244292525,wrote
321,-10.139691088647963,tedxeuston
589,-9.975086681023315,haters
291,-9.974746989467434,were
456,-9.773230653987499,muslims
220,-9.74644327217079,false
228,-9.709723599042096,re
34,-9.53590932561491,everything
468,-9.531045078864585,admit
480,-9.471064176059471,angry
722,-9.37715038451561,attacked
623,-9.37715038451561,quit
318,-9.30627300047028,hard
459,-9.259121108562262,international
120,-9.259121108562262,@srhbutts
621,-9.249201834616407,without
560,-9.228526268391512,who's
695,-9.225346647053858,princesses
440,-9.223705443972214,raped
617,-9.213309758197274,hates
578,-9.18347993731362,stupid
32,-9.147290299796921,game
668,-9.0630077078936,argument
572,-9.022116712879818,disagree
520,-8.78695197685709,almost
411,-8.78695197685709,blame
355,-8.748194784951517,defend
272,-8.748194784951517,t
87,-8.738586933564903,hit
217,-8.728613856973,herself
749,-8.678608565721813,bitches
635,-8.67109990174123,insane
688,-8.552773835175671,who
208,-8.336331288470817,liberals
761,-8.336331288470817,shave
380,-8.320464094371786,life
39,-8.26892682460183,anyway
269,-8.26892682460183,yo
458,-8.172460069037907,abuse
290,-8.160347204347666,thinks
529,-8.096236427419452,wanted
45,-8.017506534477949,days
655,-7.790985234600473,fellow
29,-7.760394853041991,walk
580,-7.730930420844221,lmao
280,-7.615202912097127,baby
304,-7.518623742384346,last
528,-7.493168430171231,woman
660,-7.3098324541280935,y
497,-7.122954240769616,little
421,-6.953507324844601,#
265,-6.884853116383255,created
763,-6.884853116383255,jokes
99,-6.883248638502948,sense
333,-6.811871456499393,play
685,-6.766139622611895,absolutely
734,-6.756758641208382,working
764,-6.698300803457926,true
718,-6.673981358799992,supports
166,-6.494633607469105,fat
54,-6.464411303635799,takes
259,-6.331218352419217,gets
487,-6.312684721325063,yall
177,-6.312684721325063,sjws
305,-6.306228078187315,link
555,-6.306228078187315,sjw
606,-6.288339692270657,end
210,-6.234028274523261,ugly
711,-6.234028274523261,god
426,-6.094706951403033,vote
337,-5.980035222904666,bodies
254,-5.974734916024058,though
614,-5.933450233527488,%
20,-5.866462419411306,on
534,-5.847865963302487,gamergate
757,-5.847865963302487,three
180,-5.816272713537485,cuz
666,-5.768974597931379,shirt
69,-5.497289472043235,dear
819,-5.434445990671698,rant
742,-5.417298608914059,campus
650,-5.360543799693945,fit
813,-5.360543799693945,poor
760,-5.343613523850026,date
491,-5.3390700808776685,today
107,-5.275426654889845,find
328,-5.275221614027917,okay
478,-5.26372736755842,myself
496,-5.222543861639327,ban
452,-5.2040050175044,ass
816,-5.19426364869107,only
382,-5.192585305361408,actual
530,-5.111248428525803,v
251,-5.067568980906286,goes
640,-5.012691964824002,possible
203,-4.931751322499085,maybe
397,-4.931180393293271,bill
363,-4.901098804731204,damn
690,-4.901098804731204,powerful
714,-4.8909362462668895,fucking
163,-4.872866281231394,playlist
398,-4.8469013624599775,money
754,-4.811717170674752,shame
514,-4.777383700695427,culture
713,-4.74775840093182,claims
68,-4.74775840093182,piss
323,-4.688124258346683,bunch
588,-4.5315038539468,hilarious
674,-4.529968912629414,parody
181,-4.529968912629414,cut
90,-4.444414572774601,wants
686,-4.277641205432463,let
300,-4.2713565348118046,i'll
12,-4.188317811901749,story
338,-4.154964260492724,laws
396,-4.154964260492724,shades
612,-4.1546268148849865,meninists
121,-4.132822401590184,mad
233,-4.087517984783869,shouldn't
303,-4.08021043758637,sometimes
577,-3.991270230813086,*
436,-3.9588067281833066,bit
462,-3.8044182531026838,gotta
73,-3.8044182531026838,statement
202,-3.773977707846692,#questionsformen
439,-3.766418286714263,old
787,-3.7141409126940452,idiots
294,-3.638148766350863,<
362,-3.6229639937811307,#page3
575,-3.6229639937811307,attacking
231,-3.602739247456043,should
509,-3.5958353497955216,claim
225,-3.5654451506486424,wonder
173,-3.527713490943313,equality
377,-3.484915466944834,gg
808,-3.479862798518031,modern
72,-3.466600470459584,wage
108,-3.400175364655304,gonna
689,-3.3963394398149696,internet
15,-3.3544955392191493,dude
755,-3.285814522364957,he's
604,-3.246773853814748,campaign
466,-3.236174468691413,page
37,-3.2307197774157874,win
531,-3.2300868218151386,games
665,-3.2109749152141056,day
359,-3.1802608015225644,saw
64,-3.1705424348284783,step
302,-3.1705424348284783,turns
216,-3.1527883345488767,anti-feminist
402,-3.150518436054675,u201d
410,-3.12483070119044,following
470,-3.1155112741719684,could
26,-3.069564488679225,question
334,-3.067013263664972,trying
573,-3.0623599454432604,probably
618,-3.006061307158406,extreme
168,-2.998139065234625,after
174,-2.966725116763744,[
422,-2.954823159261119,activists
709,-2.9372416619389696,law
769,-2.9372416619389696,example
790,-2.886519677769007,@mt8_9
633,-2.8848316655118307,y'all
501,-2.8358278483166366,back
729,-2.7964665203636603,truth
561,-2.7922118746011826,identify
223,-2.7922118746011826,complain
498,-2.785605684520535,misogynist
129,-2.7381201325800273,using
80,-2.7285017677148957,males
662,-2.7214530893636955,others
731,-2.7201402917242454,wish
766,-2.685049810374384,point
700,-2.657798685255619,five
807,-2.6505169259300914,but
314,-2.6179696694545385,into
723,-2.617698632438593,straight
113,-2.5887808516258453,gave
293,-2.5193376012499336,while
582,-2.4985021729349093,dumb
325,-2.483756858057946,couldn't
493,-2.4146062933503014,run
98,-2.4146062933503014,abortion
332,-2.407360996015818,free
797,-2.407360996015818,literally
552,-2.4002420434537086,anti
444,-2.395398544279338,]
284,-2.3836546491147477,muslim
670,-2.381555888683341,said
104,-2.3805932707190216,freedom
311,-2.362031460324019,an
207,-2.3220432235102315,any
209,-2.3097949020463258,awful
556,-2.3097949020463258,simple
699,-2.3097949020463258,character
457,-2.299363405859925,@chsommers
553,-2.2686721481134615,hot
235,-2.2662996278755063,try
100,-2.2490397594743676,radical
609,-2.221487857061687,wear
165,-2.166717077718399,far
795,-2.0855285890735047,own
406,-2.0659248768065055,watch
1,-2.049199829703399,asking
416,-2.046376325786172,gap
170,-2.019650775852792,#womenagainstfeminism
7,-2.002282103280333,call
369,-1.9631088501631435,debate
222,-1.8924159308353072,offended
390,-1.8924159308353072,written
66,-1.8871550133348869,too
558,-1.8764173747523296,correct
301,-1.8764173747523296,added
442,-1.8764173747523296,lady
595,-1.830131203038306,since
271,-1.786307282516482,calling
547,-1.7457015772902587,help
772,-1.7238501862519744,anyone
521,-1.7185132121134101,#likeagirl
247,-1.7053136048218098,worst
343,-1.7039144321304507,message
780,-1.6981697199074848,ignore
705,-1.6925066265710473,become
55,-1.606179968315299,home
815,-1.567567913336016,remember
683,-1.5461677470717348,society
51,-1.531764670541052,light
252,-1.531764670541052,misogynistic
236,-1.5280479217065528,weak
740,-1.5280479217065528,due
792,-1.5280479217065528,within
57,-1.3896834727897236,choose
657,-1.3642508838574479,wtf
581,-1.3642508838574479,treat
702,-1.3642508838574479,argue
155,-1.3483461435860669,sick
484,-1.3088931544457836,well
389,-1.2970262528507952,told
596,-1.2807073471480344,heard
191,-1.2492510864674546,allowed
133,-1.2262989282188386,sexual
746,-1.2225512418707076,must
629,-1.2109906768647498,post
341,-1.1807370581438104,i'd
248,-1.150636462937106,@femfreq
644,-1.144086445902352,control
